,names,pvals_adj_cluster,logfoldchanges_cluster,scores_cluster,rank_cluster,pvals_adj_anatomy,logfoldchanges_anatomy,scores_anatomy,rank_anatomy,scores_sum,rank_sum
50,Spidr,1.3613440024750785e-09,2.878379,6.441337,202,3.713574011205258e-07,3.2106023,5.681836,172,12.123173,374
52,Ccl6,5.021487371302102e-08,2.1265216,5.8438168,232,5.156442430336364e-07,3.0444362,5.6223197,176,11.466137,408
51,Tnfaip2,4.582452200960448e-08,3.3739645,5.8596625,230,1.6269075667474165e-06,5.1745753,5.407361,186,11.267023,416
47,Btbd16,7.797915409630673e-13,3.7714427,7.5267315,169,0.004623455590353418,3.870446,3.568466,307,11.095198,476
57,AA467197,1.404227201450046e-05,2.4673357,4.764499,287,9.691438184246872e-06,4.1404357,5.0568643,199,9.821363,486
54,Akr1b8,6.884375661688081e-07,2.6478436,5.3697166,251,0.0011562780197312658,2.9540567,3.95644,262,9.326157,513
59,Ccl9,5.0280067305411115e-05,2.0169067,4.4854217,301,1.9464620930494842e-05,2.9972703,4.9096746,212,9.395096,513
58,Sphk1,1.9981977025093456e-05,2.1651137,4.6891565,289,0.0001393221447138857,3.697178,4.476651,233,9.165808,522
53,Klk9,1.9136490027054516e-07,5.6650357,5.6070046,241,0.004017825083599031,4.997407,3.6088557,298,9.21586,539
56,Saa3,9.914294895877058e-07,2.7281022,5.3005714,255,0.0033514567605682256,3.835589,3.6613817,290,8.961953,545
55,Emp1,7.194232324513553e-07,3.07405,5.361407,252,0.004329975936161834,2.6885357,3.5869133,302,8.94832,554
60,Arg1,0.00030576464816532164,3.8700764,4.0566006,325,0.003431266787176192,26.902702,3.654294,291,7.7108946,616
61,S100a9,0.0009829843684030471,2.0472183,3.7544637,350,0.004033823956531673,4.26094,3.6073022,299,7.361766,649
