"","gene_id","gene_name","baseline_before","rank_baseline_before","baseline_after","rank_baseline_after"
"1","ENSMUSG00000048001","Hes5",1.46511627906977,1332,1.40803382663848,2566
"2","ENSMUSG00000031980","Agt",1.59187279151943,285,1.30918727915194,3988
"3","ENSMUSG00000048163","Selplg",1.29368932038835,3346,1.31796116504854,3861
"4","ENSMUSG00000054675","Tmem119",1.25217391304348,4066,1.25507246376812,4987
"5","ENSMUSG00000036353","P2ry12",1.21890547263682,4730,1.22388059701493,5625
"6","ENSMUSG00000051504","Siglech",1.11881188118812,7828,1.11881188118812,8578
