"","gene_id","gene_name","pvalue_bf","pvalue_af","rank_bf","rank_af","rank_diff","cor_bf","cor_af","log_neg_bf","log_neg_af"
"12380","ENSMUSG00000115483","Gm9732","0.00508168041959324","0.00612139109598794",3722.5,3090.5,-632,-0.483845615893886,-0.483845615893886,5.2821132808326,5.09596590502137
"12501","ENSMUSG00000002320","Tm9sf1","0.00750619332337489","0.00885243684567929",3998,3390,-608,-0.591266061867919,-0.591266061867919,4.89202682275567,4.72706250806983
"12551","ENSMUSG00000044461","Shisa2","0.00448773513429065","0.00541974556952563",3617,2994.5,-622.5,-0.443104443231866,-0.443104443231866,5.40640712892693,5.21770640752438
"12618","ENSMUSG00000014813","Stc1","0.00318436431627606","0.00394474074490927",3424,2764,-660,-0.405053858322633,-0.405053858322633,5.7495025966046,5.53537204423053
"12691","ENSMUSG00000075502","Kbtbd6","0.00148504731603799","0.00190770973260432",2997,2333,-664,-0.757092131329895,-0.757092131329895,6.51230864458323,6.261851849288
"12934","ENSMUSG00000022346","Myc","3.95712092192852e-06","7.13296412337372e-06",1406,780,-626,-0.388861731681339,-0.388861731681339,12.4399938370366,11.8507836843496
"13097","ENSMUSG00000042622","Maff","2.28183565457818e-06","6.40889057420092e-06",1349,758,-591,-0.43028342051877,-0.423915879808796,12.9905303272694,11.9578243793591
"13574","ENSMUSG00000022842","Ece2","0.00797883995467603","0.0093842827441387",4053,3446,-607,-0.373675934615621,-0.373675934615621,4.83096224717575,4.66871903763531
"13725","ENSMUSG00000022704","Qtrt2","4.13876065163888e-05","6.67448020581199e-05",1831.5,1136,-695.5,-0.393637449842662,-0.393637449842662,10.0925290814575,9.61463413550455
"13776","ENSMUSG00000109588","Lnp1","0.00177792153356147","0.00224721691372569",3079,2436,-643,-0.734893743970727,-0.734893743970727,6.33231027471945,6.09806275562474
"13816","ENSMUSG00000022864","D16Ertd472e","2.39739606999982e-08","2.89151720336616e-07",936,496.5,-439.5,-0.465103191746832,-0.4441503311049,17.5462975664388,15.0563143027261
"13886","ENSMUSG00000043301","Kcnj6","0.00461842917739539","0.00556748427969934",3643,3022,-621,-0.740328546439711,-0.740328546439711,5.37770063659603,5.19081198242015
"13899","ENSMUSG00000040605","Bace2","0.000556161610102476","0.00145346165239482",2571,2190,-381,-0.37315903964732,-0.355656459510336,7.49445164029683,6.53380722125468
"13942","ENSMUSG00000023873","1700010I14Rik","0.00120603135689665","0.00157346026491176",2912,2232,-680,-0.60097961703899,-0.60097961703899,6.72042018027167,6.45447809445629
"14175","ENSMUSG00000023067","Cdkn1a","4.95632923364121e-32","4.46764624667479e-22",206,48,-158,-0.505553321533694,-0.435110839925246,72.0820575829251,49.1600103426679
"14282","ENSMUSG00000015468","Notch4","1.70627470286896e-05","5.69785333940979e-05",1636,1109,-527,-0.394156627859063,-0.381481103638524,10.978613007252,9.77283596818508
"14305","ENSMUSG00000090877","Hspa1b","1.59404294678993e-14","2.03623156193542e-11",494,199,-295,-0.426191753815812,-0.387882437552573,31.7699177791324,24.6173351969534
"14306","ENSMUSG00000091971","Hspa1a","2.1833587528613e-15","1.54679654960549e-14",455,110,-345,-0.376491744633022,-0.373835283898711,33.7579119914675,31.8000052518343
"14385","ENSMUSG00000106106","CT010467.1","3.04114638708957e-09","8.48297206029635e-08",829,434,-395,-0.378740534115831,-0.355433176119799,19.6110312915967,16.2826198767434
"14497","ENSMUSG00000023945","Slc5a7","7.45144981591149e-05","0.000112213810344018",1940.5,1288.5,-652,-0.461133650051807,-0.461133650051807,9.50451684534947,9.09510448560516
"14583","ENSMUSG00000095407","Tmem200c","0.0027771241004694","0.00346548345329436",3338,2675,-663,-0.409843895146332,-0.409843895146332,5.88633938297417,5.66490313131267
"14594","ENSMUSG00000024053","Emilin2","1.05116514114067e-06","2.22834853610184e-06",1246,646,-600,-0.480763626940464,-0.479424990104617,13.7656113507812,13.0142498136178
"14599","ENSMUSG00000041057","Wdr43","3.07976973161702e-13","1.16396991044555e-11",540,188.5,-351.5,-0.434846526365272,-0.417812421422612,28.808751377194,25.1765995240921
"14713","ENSMUSG00000036904","Fzd8","6.01926913307522e-05","0.000129830773394466",1897,1338,-559,-0.403565161156974,-0.396143735658888,9.71795961948577,8.94927869863176
"14753","ENSMUSG00000042514","Klhl14","5.63117471827614e-05","8.73435090157658e-05",1883,1213.5,-669.5,-0.605346291676003,-0.605346291676003,9.78460739124869,9.34566183421098
"14754","ENSMUSG00000045215","Asxl3","0.00241110646535539","0.00301064535128603",3241.5,2596,-645.5,-0.388353331974518,-0.388353331974518,6.02766952258493,5.80560082078166
"14818","ENSMUSG00000073600","Prob1","0.00149042204446294","0.00191343138328098",2998.5,2336,-662.5,-0.391463174190905,-0.391463174190905,6.50869594781544,6.25885711301455
"15116","ENSMUSG00000075296","Aldh3b2","2.56244384273549e-05","6.45688939081945e-05",1721.5,1132,-589.5,-0.408499029530037,-0.400186368049909,10.5719640357759,9.64777778159196
"15135","ENSMUSG00000040663","Clcf1","9.07129596099884e-10","2.30202144868537e-08",776,370,-406,-0.433711099755363,-0.41098595638019,20.8207357916765,17.5868931162828
"15413","ENSMUSG00000024810","Il33","2.51428759436858e-155","1.44949672407162e-46",4,1,-3,-0.615147323333097,-0.37091317340433,355.978699913328,105.547697868389
"15440","ENSMUSG00000034459","Ifit1","0.0013836503496687","0.00161688669625112",2970.5,2245,-725.5,-0.382695963442264,-0.385760017907656,6.58303009122751,6.42725277118784
"15476","ENSMUSG00000049164","Zfp518a","6.62513992128427e-05","0.000108455099399227",1917,1277,-640,-0.406644197424366,-0.405102186383952,9.62205397312712,9.12917430105707
"15521","ENSMUSG00000037578","Pkd2l1","0.0124165778335207","0.00940324129499436",4436,3453,-983,-0.369279441677808,-0.387958003720006,4.3887227771976,4.66670083052603
"15522","ENSMUSG00000025202","Scd3","5.42409746442102e-06","9.64946276637537e-06",1457,819,-638,-0.461817166264437,-0.461817166264437,12.1246590383835,11.5486083160413
"15785","ENSMUSG00000055555","4930502E18Rik","0.000715931668020661","0.000958869000647362",2680,2001,-679,-0.832256330553681,-0.832256330553681,7.24192583128324,6.94975609236207
"15801","ENSMUSG00000031139","Mcf2","0.00634325949169347","0.00751108879363151",3859,3259,-600,-0.353240930908966,-0.353240930908966,5.06036252723599,4.89137484453593
"15848","ENSMUSG00000002007","Srpk3","0.000180039386857511","0.000217099098119546",2159,1470,-689,-0.453436082992281,-0.45764855088415,8.6223349151357,8.4351566353054
"15943","ENSMUSG00000047797","Gjb1","2.25615769187241e-48","2.33348813094588e-23",127,39,-88,-0.487292347422611,-0.355257148105215,109.710421233642,52.1120929388424
"16161","ENSMUSG00000031381","Piga","0.00634961140283829","0.0065840929782586",3861,3151,-710,-0.357650235276795,-0.362709992667017,5.05936166435353,5.02309869385735
"16163","ENSMUSG00000061778","Mospd2","1.59999531061084e-05","3.94569350497176e-05",1627.5,1022,-605.5,-0.386160971922011,-0.379595153837163,11.042924766597,10.14030073272
